Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield
LUMN,"CenturyLink, Inc.",Common stocks,Mid cap,Communication Services,"$5,628,130,666",13.48%
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$22,449,763,271",0.00%
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$36,015,155,834",0.00%
LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"$12,523,382,932",1.12%
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$26,593,747,443",5.66%
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$16,424,794,592",0.00%
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$331,370,252,504",0.56%
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$18,387,405,576",2.90%
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$49,785,350,333",0.63%
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$11,032,884,697",2.27%
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$198,003,474,963",2.08%
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$41,377,155,253",1.53%
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$54,662,804,475",0.52%
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$53,252,576,000",0.96%
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$92,903,027,099",2.09%
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$102,304,142,108",3.37%
MET,Metlife Inc,Common stocks,Large cap,Financials,"$58,523,776,831",2.63%
META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$306,471,700,000",0.00%
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$13,970,658,368",0.03%
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,087,195,606",0.00%
MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$22,870,694,027",1.72%
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$10,355,395,480",1.01%
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$21,886,969,635",0.72%
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$84,936,667,807",1.31%
MMM,3M,Common stocks,Large cap,Industrials,"$69,839,067,310",4.64%
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$52,816,105,843",0.00%
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$83,103,044,297",7.62%
MOH,Molina Healthcare Inc,Common stocks,Large cap,Health Care,"$19,813,952,000",0.00%
MOS,Mosaic,Common stocks,Large cap,Materials,"$16,114,967,339",1.18%
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$51,084,030,797",2.26%
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$17,263,859,340",0.77%
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$279,121,742,778",2.48%
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$68,768,303,951",0.00%
MRO,Marathon Oil Corp,Common stocks,Large cap,Energy,"$17,407,209,494",1.16%
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$147,512,750,090",3.33%
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$40,011,066,266",0.91%
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$1,821,649,602,199",1.04%
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$44,608,144,129",1.18%
MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$25,541,596,364",3.22%
MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$12,024,127,863",0.00%
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$32,584,517,817",0.00%
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$58,711,853,994",0.80%
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$6,514,783,706",0.00%
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$31,854,564,466",1.20%
NDSN,Nordson Corp,Common stocks,Large cap,Industrials,"$13,452,523,057",0.92%
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$169,485,187,879",1.98%
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$37,456,530,716",4.58%
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$136,258,416,367",0.00%
NI,Nisource Inc,Common stocks,Large cap,Utilities,"$11,237,737,243",3.35%
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$168,994,800,000",1.15%
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$83,144,885,793",1.25%
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$78,481,040,000",0.00%
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$7,634,932,554",4.17%
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$55,922,258,150",2.04%
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$13,576,810,024",3.14%
NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$18,282,222,836",3.22%
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$38,430,247,758",1.33%
